unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,NIC,Nicaragua,MCV1,85,93,83,97,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,96.0,84.0,93.0,98.0,99.0,86.0
WCAR,NER,Niger,MCV1,80,65,80,79,79,77,82,76,85,80,80,75,69,67.0,69.0,66.0,60.0,53.0,47.0,45.0,43.0,41.0,39.0,37.0
WCAR,NGA,Nigeria,MCV1,60,60,60,60,58,56,54,48,42,44,43,42,49,56.0,64.0,53.0,41.0,44.0,41.0,37.0,34.0,30.0,32.0,33.0
EAPR,NIU,Niue,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,86.0,99.0,99.0,99.0
ECAR,MKD,North Macedonia,MCV1,73,71,70,63,75,75,83,82,89,93,96,96,97,98.0,96.0,98.0,96.0,94.0,96.0,96.0,96.0,98.0,92.0,97.0
Non-programme,NOR,Norway,MCV1,96,96,97,97,97,96,96,96,95,94,93,94,93,93.0,93.0,93.0,92.0,92.0,90.0,89.0,86.0,87.0,90.0,88.0
MENA,OMN,Oman,MCV1,99,97,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,98.0,97.0,96.0,98.0,98.0,98.0,99.0,99.0,99.0
ROSA,PAK,Pakistan,MCV1,84,82,81,83,81,79,76,75,75,71,68,63,59,57.0,56.0,56.0,57.0,59.0,61.0,63.0,62.0,60.0,59.0,57.0
EAPR,PLW,Palau,MCV1,96,96,93,93,97,90,93,96,95,83,99,91,85,39.0,75.0,97.0,91.0,98.0,98.0,99.0,99.0,99.0,91.0,83.0
LACR,PAN,Panama,MCV1,78,87,92,80,97,98,98,95,93,90,92,98,97,97.0,96.0,96.0,95.0,95.0,99.0,97.0,95.0,95.0,95.0,97.0
EAPR,PNG,Papua New Guinea,MCV1,52,41,35,44,37,37,41,46,57,65,72,71,66,63.0,65.0,66.0,72.0,82.0,82.0,77.0,77.0,73.0,65.0,69.0
LACR,PRY,Paraguay,MCV1,83,54,68,80,87,93,92,85,78,84,88,88,91,93.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,86.0,90.0,92.0
LACR,PER,Peru,MCV1,84,74,78,77,85,86,88,89,92,89,85,94,96,94.0,91.0,92.0,92.0,93.0,77.0,85.0,95.0,95.0,97.0,97.0
EAPR,PHL,Philippines,MCV1,81,76,64,79,83,82,81,80,80,81,83,84,86,87.0,89.0,90.0,92.0,92.0,92.0,92.0,87.0,82.0,81.0,78.0
Non-programme,POL,Poland,MCV1,91,91,91,92,93,93,94,96,96,97,98,98,98,98.0,98.0,98.0,98.0,99.0,98.0,97.0,97.0,98.0,97.0,97.0
Non-programme,PRT,Portugal,MCV1,98,98,98,99,99,99,98,98,98,98,98,97,97,96.0,95.0,97.0,95.0,97.0,93.0,95.0,96.0,93.0,90.0,87.0
MENA,QAT,Qatar,MCV1,99,99,99,90,99,99,99,99,99,99,97,97,98,99.0,99.0,96.0,92.0,99.0,99.0,99.0,93.0,99.0,92.0,91.0
Non-programme,KOR,Republic of Korea,MCV1,97,97,98,98,98,98,97,98,98,99,99,99,99,98.0,93.0,92.0,92.0,99.0,99.0,99.0,96.0,97.0,96.0,95.0
ECAR,MDA,Republic of Moldova,MCV1,85,84,83,84,97,93,93,88,89,90,91,91,91,97.0,90.0,95.0,96.0,96.0,97.0,96.0,96.0,94.0,94.0,89.0
ECAR,ROU,Romania,MCV1,78,83,86,87,90,90,86,86,86,89,92,94,93,95.0,96.0,96.0,97.0,95.0,97.0,97.0,97.0,98.0,98.0,98.0
Non-programme,RUS,Russian Federation,MCV1,97,97,97,97,98,98,98,98,98,98,98,98,98,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0
ESAR,RWA,Rwanda,MCV1,96,99,87,94,96,99,97,95,96,97,95,97,95,95.0,95.0,92.0,94.0,95.0,89.0,84.0,90.0,69.0,69.0,74.0
LACR,KNA,Saint Kitts and Nevis,MCV1,95,95,96,95,97,96,93,98,95,93,99,95,99,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,90.0,99.0
LACR,LCA,Saint Lucia,MCV1,85,81,77,89,96,86,87,99,97,99,99,99,91,95.0,99.0,99.0,94.0,94.0,94.0,95.0,90.0,98.0,89.0,88.0
LACR,VCT,Saint Vincent and the Grenadines,MCV1,90,99,96,99,99,99,99,99,99,99,99,94,97,99.0,99.0,99.0,99.0,99.0,97.0,99.0,94.0,99.0,98.0,96.0
EAPR,WSM,Samoa,MCV1,87,82,62,66,96,40,67,75,75,85,92,76,59,56.0,45.0,44.0,63.0,54.0,57.0,25.0,62.0,99.0,92.0,93.0
