unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,PER,Peru,DTP3,84,82,82,72,88,89,89,90,90,88,88,95,91,93.0,93.0,93.0,93.0,94.0,77.0,86.0,94.0,95.0,90.0,98.0
EAPR,PHL,Philippines,DTP3,89,84,69,83,84,84,84,84,74,79,84,89,89,88.0,88.0,87.0,87.0,88.0,89.0,88.0,84.0,79.0,79.0,78.0
Non-programme,POL,Poland,DTP3,94,94,94,94,95,95,96,98,98,98,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0
Non-programme,PRT,Portugal,DTP3,99,99,99,99,99,99,98,98,98,98,98,98,97,98.0,96.0,97.0,97.0,97.0,93.0,95.0,99.0,98.0,97.0,96.0
MENA,QAT,Qatar,DTP3,95,98,98,89,98,98,97,98,99,89,97,92,93,97.0,99.0,97.0,94.0,96.0,97.0,96.0,92.0,96.0,93.0,80.0
Non-programme,KOR,Republic of Korea,DTP3,98,98,98,98,98,98,97,98,98,99,99,99,99,94.0,94.0,94.0,91.0,98.0,96.0,88.0,97.0,97.0,97.0,97.0
ECAR,MDA,Republic of Moldova,DTP3,87,88,87,86,91,93,88,89,87,90,90,92,93,90.0,85.0,90.0,92.0,97.0,98.0,98.0,98.0,97.0,97.0,95.0
ECAR,ROU,Romania,DTP3,78,85,86,87,88,86,82,89,89,94,92,91,89,94.0,95.0,96.0,96.0,97.0,97.0,97.0,97.0,98.0,99.0,99.0
Non-programme,RUS,Russian Federation,DTP3,97,97,97,97,97,97,97,97,97,97,97,97,97,97.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,97.0,96.0,96.0
ESAR,RWA,Rwanda,DTP3,94,98,88,91,98,97,98,98,98,98,98,98,97,97.0,97.0,97.0,97.0,99.0,95.0,89.0,96.0,88.0,77.0,90.0
LACR,KNA,Saint Kitts and Nevis,DTP3,96,96,96,99,97,98,98,98,94,98,97,98,98,96.0,98.0,99.0,99.0,99.0,99.0,96.0,99.0,97.0,99.0,99.0
LACR,LCA,Saint Lucia,DTP3,74,81,80,86,92,95,80,95,99,99,99,98,99,97.0,95.0,96.0,99.0,85.0,95.0,91.0,90.0,74.0,99.0,70.0
LACR,VCT,Saint Vincent and the Grenadines,DTP3,94,99,92,97,97,97,99,99,99,98,97,96,96,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0
EAPR,WSM,Samoa,DTP3,83,76,85,89,68,44,67,74,80,78,84,82,82,78.0,64.0,39.0,65.0,50.0,59.0,63.0,90.0,92.0,90.0,98.0
